debate_media,coverage_media,channel,network,location,channel_type,program,coverage_time_utc,debate_start_second,coverage_start_second,duration,match_url,transcript
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KQED_20161005_190000_Charlie_Rose,KQED,PBS,SF/Oakland/SJ,local,Charlie_Rose,"10/16/2016 19:00:00",0,0,3,https://archive.org/details/KQED_20161005_190000_Charlie_Rose#start/0/end/3,
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KQED_20161005_063000_Rob_on_the_Road,KQED,PBS,SF/Oakland/SJ,local,Rob_on_the_Road,"10/16/2016 07:00:02",0.5,1802.7,2.4,https://archive.org/details/KQED_20161005_063000_Rob_on_the_Road#start/1802.7/end/1805.1,
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KQED_20161005_063000_Rob_on_the_Road,KQED,PBS,SF/Oakland/SJ,local,Rob_on_the_Road,"10/16/2016 07:00:14",13.7,1814.7,38.6,https://archive.org/details/KQED_20161005_063000_Rob_on_the_Road#start/1814.7/end/1853.3,">> STRONGER YET. >> WITH THE STRONG LEADERSHIP THAT DONALD TRUMP IS BRINGING TO THE WHITE HOUSE WE'RE VERY CONFIDENT THAT WE CAN BRING REAL CHANGE. >> THINGS WORK BETTER WHEN WE WORK AS A TEAM. THAT'S WHAT HILLARY CLINTON BELIEVES. >> WHEN WE ELECT DONALD TRUMP THEY WILL HAVE A TEAM AND PARTNER IN THE WHITE HOUSE. A STRONGER AND GREATER AMERICA."
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KQED_20161006_010000_PBS_NewsHour,KQED,PBS,SF/Oakland/SJ,local,PBS_NewsHour,"10/16/2016 01:59:45",0.5,3585.6,2.4,https://archive.org/details/KQED_20161006_010000_PBS_NewsHour#start/3585.6/end/3588,
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KQED_20161006_010000_PBS_NewsHour,KQED,PBS,SF/Oakland/SJ,local,PBS_NewsHour,"10/16/2016 01:01:18",51.9,78.2,3.6,https://archive.org/details/KQED_20161006_010000_PBS_NewsHour#start/78.2/end/81.8,
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KQED_20161006_010000_PBS_NewsHour,KQED,PBS,SF/Oakland/SJ,local,PBS_NewsHour,"10/16/2016 01:11:08",833.3,668.5,14.2,https://archive.org/details/KQED_20161006_010000_PBS_NewsHour#start/668.5/end/682.7,"SECRETARY OF STATE, SENATOR, COME ON, SHE HAD A CLINTON FOUNDATION ACCEPTING CONTRIBUTIONS FROM FOREIGN GOVERNMENTS -- >> YOU AND DONALD TRUMP -- LET ME TALK ABOUT THIS -- SENATOR I THINK I'M -- THIS STREET MY TIME."
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KQED_20161006_010000_PBS_NewsHour,KQED,PBS,SF/Oakland/SJ,local,PBS_NewsHour,"10/16/2016 01:12:25",903.5,745.2,7.8,https://archive.org/details/KQED_20161006_010000_PBS_NewsHour#start/745.2/end/753,"OF THE WORTH. WORK ADD DEAL WITH THE RUSSIANS TO DECREASE THEIR CHEMICAL WEAPONS. A TOUGH NEGOTIATION WITH NATIONS AROUND THE WORLD TO ELIMINATE"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KQED_20161006_010000_PBS_NewsHour,KQED,PBS,SF/Oakland/SJ,local,PBS_NewsHour,"10/16/2016 01:11:37",4219.2,697.4,20,https://archive.org/details/KQED_20161006_010000_PBS_NewsHour#start/697.4/end/717.4,"I KNOW HE'S LAUGHING AT THIS, BUT EVERY PRESIDENT -- >> WHAT'S THAT HAVE TO DO WITH RUSSIA. >> EVER PRESIDENT HAS DONE IT, DONALD TRUMP HAS SAID I'M DOING BUSINESS WITH RUSSIA. ONLY WAY THE AMERICAN PUBLIC WILL SEE WHETHER HE HAS -- >> NO HE, HE HASN'T SAID THAT. >> SENATOR -- >> THANKS. JUST TRYING TO KEEP UP WITH THE"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KQED_20161005_203000_India_Natures_Wonderland,KQED,PBS,SF/Oakland/SJ,local,India_Natures_Wonderland,"10/16/2016 20:30:04",0.5,4.3,2,https://archive.org/details/KQED_20161005_203000_India_Natures_Wonderland#start/4.3/end/6.3,
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KQED_20161005_213000_BBC_World_News_America,KQED,PBS,SF/Oakland/SJ,local,BBC_World_News_America,"10/16/2016 21:59:59",0.9,1799.6,2.2,https://archive.org/details/KQED_20161005_213000_BBC_World_News_America#start/1799.6/end/1801.8,
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KQED_20161005_213000_BBC_World_News_America,KQED,PBS,SF/Oakland/SJ,local,BBC_World_News_America,"10/16/2016 21:37:39",1422.9,459.3,7.8,https://archive.org/details/KQED_20161005_213000_BBC_World_News_America#start/459.3/end/467.1,">> HIS TAX RETURNS, SHOWED HE WENT THROUGH A VERY DIFFICULT TIME USED THE TAX CODE JUST THE WAY IT'S SUPPOSED TO BE USED HE"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KQED_20161005_213000_BBC_World_News_America,KQED,PBS,SF/Oakland/SJ,local,BBC_World_News_America,"10/16/2016 21:37:56",2280.8,476.4,4.5,https://archive.org/details/KQED_20161005_213000_BBC_World_News_America#start/476.4/end/480.9,"EVERY GROUP THAT HE TAKES ABOUT. I JUST, AGAIN, I CANNOT BELIEVE"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KQED_20161005_213000_BBC_World_News_America,KQED,PBS,SF/Oakland/SJ,local,BBC_World_News_America,"10/16/2016 21:38:02",2397.3,482.5,12.1,https://archive.org/details/KQED_20161005_213000_BBC_World_News_America#start/482.5/end/494.6,"OURS IS AN INSULT-DRIVEN CAMPAIGN? TO BE HONEST WITH YOU IF DONALD TRUMP SAID ALL THE THINGS THAT YOU SAID HE SAID IN THE WAY YOU SAID HE SAID THEM, HE STILL WOULDN'T HAVE A FRACTION OF THE"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KQED_20161005_213000_BBC_World_News_America,KQED,PBS,SF/Oakland/SJ,local,BBC_World_News_America,"10/16/2016 21:38:29",3938.1,509.7,13.2,https://archive.org/details/KQED_20161005_213000_BBC_World_News_America#start/509.7/end/522.9,"LIVE RAKES. HE SAID THE PROBLEM WITH NUCLEAR PROLIFERATION, SOME FOOL OR MANIAC COULD TRIGGER A CATASTROPHIC EVENT. I THINK THAT'S WHO GOVERNOR PENS' RUNNING MATE IS."
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KQED_20161005_200000_Check_Please_Bay_Area,KQED,PBS,SF/Oakland/SJ,local,Check_Please_Bay_Area,"10/16/2016 20:30:03",0.9,1803.6,2.9,https://archive.org/details/KQED_20161005_200000_Check_Please_Bay_Area#start/1803.6/end/1806.5,
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KQED_20161005_130000_Arthur,KQED,PBS,SF/Oakland/SJ,local,Arthur,"10/16/2016 13:00:04",0.9,4.7,2.9,https://archive.org/details/KQED_20161005_130000_Arthur#start/4.7/end/7.6,
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KQED_20161006_023000_Quest,KQED,PBS,SF/Oakland/SJ,local,Quest,"10/16/2016 03:00:03",0.9,1803.8,2.1,https://archive.org/details/KQED_20161006_023000_Quest#start/1803.8/end/1805.9,
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KQED_20161005_220000_PBS_NewsHour,KQED,PBS,SF/Oakland/SJ,local,PBS_NewsHour,"10/16/2016 22:00:01",0.9,1,2.2,https://archive.org/details/KQED_20161005_220000_PBS_NewsHour#start/1/end/3.2,
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KQED_20161005_220000_PBS_NewsHour,KQED,PBS,SF/Oakland/SJ,local,PBS_NewsHour,"10/16/2016 22:11:09",833.3,669.8,14.2,https://archive.org/details/KQED_20161005_220000_PBS_NewsHour#start/669.8/end/684,"SECRETARY OF STATE, SENATOR, COME ON, SHE HAD A CLINTON FOUNDATION ACCEPTING CONTRIBUTIONS FROM FOREIGN GOVERNMENTS -- >> YOU AND DONALD TRUMP -- LET ME TALK ABOUT THIS -- SENATOR I THINK I'M -- THIS STREET MY TIME."
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KQED_20161005_220000_PBS_NewsHour,KQED,PBS,SF/Oakland/SJ,local,PBS_NewsHour,"10/16/2016 22:12:26",903.6,746.5,8.8,https://archive.org/details/KQED_20161005_220000_PBS_NewsHour#start/746.5/end/755.3,"OF THE WORTH. WORK ADD DEAL WITH THE RUSSIANS TO DECREASE THEIR CHEMICAL WEAPONS. A TOUGH NEGOTIATION WITH NATIONS AROUND THE WORLD TO ELIMINATE"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KQED_20161005_220000_PBS_NewsHour,KQED,PBS,SF/Oakland/SJ,local,PBS_NewsHour,"10/16/2016 22:29:48",3608.6,1788.5,4.2,https://archive.org/details/KQED_20161005_220000_PBS_NewsHour#start/1788.5/end/1792.7,"SAY TO BE INVOLVED IN THIS BARBARIC ATTACK ON CIVILIANS IN"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KQED_20161005_220000_PBS_NewsHour,KQED,PBS,SF/Oakland/SJ,local,PBS_NewsHour,"10/16/2016 22:11:41",4222.4,701.9,18.9,https://archive.org/details/KQED_20161005_220000_PBS_NewsHour#start/701.9/end/720.8,">> WHAT'S THAT HAVE TO DO WITH RUSSIA. >> EVER PRESIDENT HAS DONE IT, DONALD TRUMP HAS SAID I'M DOING BUSINESS WITH RUSSIA. ONLY WAY THE AMERICAN PUBLIC WILL SEE WHETHER HE HAS -- >> NO HE, HE HASN'T SAID THAT. >> SENATOR -- >> THANKS. JUST TRYING TO KEEP UP WITH THE"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WITI_20161005_120000_FOX_6_Wake-Up_News_at_7,WITI,FOX,Milwaukee,local,FOX_6_Wake-Up_News_at_7,"10/16/2016 12:06:32",693.3,392,10.8,https://archive.org/details/WITI_20161005_120000_FOX_6_Wake-Up_News_at_7#start/392/end/402.8,"PRESIDENT OBAMA WASN'T BORN IN THE UNITED STATES. IT IS SO PANTOUFLE SUGGESTED THAT WE GO BACK TO THINK ABOUT THESE DAYS WHERE AN AFRICAN AMERICAN COULD NOT BE A CITIZEN OF THE UNITED STATES, I CAN'T"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WITI_20161005_120000_FOX_6_Wake-Up_News_at_7,WITI,FOX,Milwaukee,local,FOX_6_Wake-Up_News_at_7,"10/16/2016 12:38:52",1354.8,2332.7,9.3,https://archive.org/details/WITI_20161005_120000_FOX_6_Wake-Up_News_at_7#start/2332.7/end/2342,"PEOPLE IN FORT WAYNE, INDIANA, KNOW DIFFERENT. THIS ECONOMY IS STRUGGLING. THE ANSWER TO THIS ECONOMY IS NOT MORE TAXES -- >> BUT NOT THE TAX RELIEF FOR THE FOLKS --"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WITI_20161005_120000_FOX_6_Wake-Up_News_at_7,WITI,FOX,Milwaukee,local,FOX_6_Wake-Up_News_at_7,"10/16/2016 12:06:48",2397.3,408.5,10.4,https://archive.org/details/WITI_20161005_120000_FOX_6_Wake-Up_News_at_7#start/408.5/end/418.9,"OURS IS AN INSULT-DRIVEN CAMPAIGN? TO BE HONEST WITH YOU IF DONALD TRUMP SAID ALL THE THINGS THAT YOU SAID HE SAID IN THE WAY YOU SAID HE SAID THEM, HE STILL"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WITI_20161005_120000_FOX_6_Wake-Up_News_at_7,WITI,FOX,Milwaukee,local,FOX_6_Wake-Up_News_at_7,"10/16/2016 12:38:27",2929.8,2307.4,3.1,https://archive.org/details/WITI_20161005_120000_FOX_6_Wake-Up_News_at_7#start/2307.4/end/2310.5,"VERY CLEAR TO THE AMERICAN"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WITI_20161005_120000_FOX_6_Wake-Up_News_at_7,WITI,FOX,Milwaukee,local,FOX_6_Wake-Up_News_at_7,"10/16/2016 12:38:06",4053.7,2286.9,8.5,https://archive.org/details/WITI_20161005_120000_FOX_6_Wake-Up_News_at_7#start/2286.9/end/2295.4,"PAYMENT -- >> SIX TIMES TONIGHT I HAVE SAID TO GOVERNOR PENCE I CAN'T IMAGINE HOW YOU CAN DEFEND YOUR RUNNING MATE'S POSITION ON ONE"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WDJT_20161005_120000_CBS_This_Morning,WDJT,CBS,Milwaukee,local,CBS_This_Morning,"10/16/2016 12:01:17",700.5,77.6,4,https://archive.org/details/WDJT_20161005_120000_CBS_This_Morning#start/77.6/end/81.6,"AMERICAN COULD NOT BE A CITIZEN OF THE UNITED STATES, I CAN'T"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WDJT_20161005_120000_CBS_This_Morning,WDJT,CBS,Milwaukee,local,CBS_This_Morning,"10/16/2016 12:11:36",873.8,696.5,8.8,https://archive.org/details/WDJT_20161005_120000_CBS_This_Morning#start/696.5/end/705.3,"THE WORLD IS GOING SO WELL GOING TO SAY -- >> DO YOU? >> LET ME TELL YOU THIS. WHEN HILLARY CLINTON BECAME SECRETARY OF STATE GOVERNOR PENCE OSAMA BIN LADEN WAS APPLY."
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WDJT_20161005_120000_CBS_This_Morning,WDJT,CBS,Milwaukee,local,CBS_This_Morning,"10/16/2016 12:13:45",904.4,825.3,8.3,https://archive.org/details/WDJT_20161005_120000_CBS_This_Morning#start/825.3/end/833.6,"WORK ADD DEAL WITH THE RUSSIANS TO DECREASE THEIR CHEMICAL WEAPONS. A TOUGH NEGOTIATION WITH NATIONS AROUND THE WORLD TO ELIMINATE"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WDJT_20161005_120000_CBS_This_Morning,WDJT,CBS,Milwaukee,local,CBS_This_Morning,"10/16/2016 13:02:35",1082.7,3755.9,12,https://archive.org/details/WDJT_20161005_120000_CBS_This_Morning#start/3755.9/end/3767.9,"PROGRAM FOR ALL THE WORLD HILLARY CLINTON JUST THINKS IT'S A GOOD START. DONALD TRUMP AND I HAVE PLAN TO GET THIS ECONOMY MOVING AGAIN. JUST THE WAY THAT IT WORKED IN THE 1980s, JUST THE WAY IT"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WDJT_20161005_120000_CBS_This_Morning,WDJT,CBS,Milwaukee,local,CBS_This_Morning,"10/16/2016 13:02:49",1154.5,3769.8,4.1,https://archive.org/details/WDJT_20161005_120000_CBS_This_Morning#start/3769.8/end/3773.9,"CHOICE. HILLARY AND I HAVE PLAN ON THE TABLE THAT IS A ""YOU'RE HIRED."""
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WDJT_20161005_120000_CBS_This_Morning,WDJT,CBS,Milwaukee,local,CBS_This_Morning,"10/16/2016 12:12:00",1481,720.5,2.8,https://archive.org/details/WDJT_20161005_120000_CBS_This_Morning#start/720.5/end/723.3,"I GUESS ALL OF US WHO DO PAY THOSE THINGS I GUESS WE'RE"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WDJT_20161005_120000_CBS_This_Morning,WDJT,CBS,Milwaukee,local,CBS_This_Morning,"10/16/2016 13:03:33",1791.9,3813.5,11,https://archive.org/details/WDJT_20161005_120000_CBS_This_Morning#start/3813.5/end/3824.5,"OVERLY AGGRESSIVE ONE MILITARIZED MODEL, DONALD TRUMP SAID WE NEED TO DO MORE STOP AND FRISK AROUND THE COUNTRY. THAT WOULD BE A BIG MISTAKE."
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WDJT_20161005_120000_CBS_This_Morning,WDJT,CBS,Milwaukee,local,CBS_This_Morning,"10/16/2016 13:03:46",2014.1,3826.9,25.8,https://archive.org/details/WDJT_20161005_120000_CBS_This_Morning#start/3826.9/end/3852.7,"SEIZING ON THESE MOMENTS OF TRAGEDY, WE ARE ASSURED THE PUBLIC THAT THE FULL AND COMPLETE AND TRANSPARENT INVESTIGATION WHENEVER THERE IS LOSS OF LIFE BECAUSE OF POLICE ACTION. BUT SENATOR, PLEASE, ENOUGH OF THIS SEEKING EVERY OPPORTUNITY TO DEMEAN LAW ENFORCEMENT BROADLY BY MAKING -- >> ELAINE -- OF EXPLICIT BIAS. >> DELAY, PEOPLE SHOULDN'T BE AFRAID TO BRING UP ISSUES OF"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WDJT_20161005_120000_CBS_This_Morning,WDJT,CBS,Milwaukee,local,CBS_This_Morning,"10/16/2016 12:10:03",2279.9,603.9,3.8,https://archive.org/details/WDJT_20161005_120000_CBS_This_Morning#start/603.9/end/607.7,"SOMEBODY AT THE TOP WHO DEMEANS EVERY GROUP THAT HE TAKES ABOUT. I JUST, AGAIN, I CANNOT BELIEVE"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WDJT_20161005_120000_CBS_This_Morning,WDJT,CBS,Milwaukee,local,CBS_This_Morning,"10/16/2016 12:10:34",2397.3,634.6,13.7,https://archive.org/details/WDJT_20161005_120000_CBS_This_Morning#start/634.6/end/648.3,"OURS IS AN INSULT-DRIVEN CAMPAIGN? TO BE HONEST WITH YOU IF DONALD TRUMP SAID ALL THE THINGS THAT YOU SAID HE SAID IN THE WAY YOU SAID HE SAID THEM, HE STILL WOULDN'T HAVE A FRACTION OF THE INSULTS THAT HILLARY CLINTON"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WDJT_20161005_120000_CBS_This_Morning,WDJT,CBS,Milwaukee,local,CBS_This_Morning,"10/16/2016 13:06:12",2413.6,3972.7,19.3,https://archive.org/details/WDJT_20161005_120000_CBS_This_Morning#start/3972.7/end/3992,"OF OUR SUPPORTERS WERE A BASKET OF DEPLORABLE S. SHE SAID THEY WERE EERIE DEEMABLE. THEY WERE NOT AMERICANS. IT'S EXTRAORDINARY. THEN SHE RAILED ONE AFTER ANOTHER ISMS ON MILLIONS OF AMERICANS WHO BELIEVE THAT WE CAN HAVE A STRONGER AMERICA AT HOME AND ABROAD, BELIEVE WE CAN"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WDJT_20161005_120000_CBS_This_Morning,WDJT,CBS,Milwaukee,local,CBS_This_Morning,"10/16/2016 13:08:10",4756.7,4090.4,9.1,https://archive.org/details/WDJT_20161005_120000_CBS_This_Morning#start/4090.4/end/4099.5,"THE TRUMP ORGANIZATION AND THE TRUMP FOUNDATION. THE TRUMP ORGANIZATION IS AN OCTOPUS-LIKE ORGANIZATION IS WITH TENTACLES ALL OVER THE"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WDJT_20161005_120000_CBS_This_Morning,WDJT,CBS,Milwaukee,local,CBS_This_Morning,"10/16/2016 13:03:20",5499.5,3800.1,7,https://archive.org/details/WDJT_20161005_120000_CBS_This_Morning#start/3800.1/end/3807.1,"LET WOMEN MAKE THEIR OWN CHOICE. >> BECAUSE A SOCIETY CAN BE JUDGED BY HOW IT DEALS WITH ITS"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KNXV_20161005_091000_World_News_Now,KNXV,ABC,Phoenix,local,World_News_Now,"10/16/2016 09:46:24",831.9,2184.5,8.7,https://archive.org/details/KNXV_20161005_091000_World_News_Now#start/2184.5/end/2193.2,"THE REALITY IS WHEN SHE WAS SECRETARY OF STATE, SENATOR, COME ON, SHE HAD A CLINTON FOUNDATION ACCEPTING CONTRIBUTIONS FROM FOREIGN"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KNXV_20161005_091000_World_News_Now,KNXV,ABC,Phoenix,local,World_News_Now,"10/16/2016 11:00:47",840.3,6647,3.3,https://archive.org/details/KNXV_20161005_091000_World_News_Now#start/6647/end/6650.3,"GOVERNMENTS -- >> YOU AND DONALD TRUMP --"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KNXV_20161005_091000_World_News_Now,KNXV,ABC,Phoenix,local,World_News_Now,"10/16/2016 10:32:32",1421.1,4952.2,9.4000000000001,https://archive.org/details/KNXV_20161005_091000_World_News_Now#start/4952.2/end/4961.6,"THAT. >> HIS TAX RETURNS, SHOWED HE WENT THROUGH A VERY DIFFICULT TIME USED THE TAX CODE JUST THE WAY IT'S SUPPOSED TO BE USED HE"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KNXV_20161005_091000_World_News_Now,KNXV,ABC,Phoenix,local,World_News_Now,"10/16/2016 09:36:22",1486.9,1582.3,7.2,https://archive.org/details/KNXV_20161005_091000_World_News_Now#start/1582.3/end/1589.5,">> DO YOU TAKE ALL THE -- >> THE LAST THING I WANT TO ASK GOVERNOR PENCE -- >> I DO. >> GOVERNOR PENCE HAD TO GIVE DONALD TRUMP HIS TAX RETURNS TO"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KNXV_20161005_091000_World_News_Now,KNXV,ABC,Phoenix,local,World_News_Now,"10/16/2016 09:46:11",1524.1,2171,6.7,https://archive.org/details/KNXV_20161005_091000_World_News_Now#start/2171/end/2177.7,"RETURNS WHEN HE WAS -- >> AND -- GOVERNOR -- YOU -- >> THE PEOPLE AT HOME CANNOT"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KNXV_20161005_091000_World_News_Now,KNXV,ABC,Phoenix,local,World_News_Now,"10/16/2016 09:46:45",2876.7,2205.4,3.5,https://archive.org/details/KNXV_20161005_091000_World_News_Now#start/2205.4/end/2208.9,"TOGETHER WITH ISRAEL IF THEY PAY"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KNXV_20161005_091000_World_News_Now,KNXV,ABC,Phoenix,local,World_News_Now,"10/16/2016 10:33:26",2891.8,5006.2,2.8,https://archive.org/details/KNXV_20161005_091000_World_News_Now#start/5006.2/end/5009,"GENTLEMAN DAVE DEAND SADDAM"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KNXV_20161005_091000_World_News_Now,KNXV,ABC,Phoenix,local,World_News_Now,"10/16/2016 09:37:00",2966.7,1620.5,8.2,https://archive.org/details/KNXV_20161005_091000_World_News_Now#start/1620.5/end/1628.7,"A NATION, IT WAS HEARTBREAKING. I WANT TO GIVE THIS PRESIDENT CREDIT FOR BRINGING OSAMA BIN"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KNXV_20161005_091000_World_News_Now,KNXV,ABC,Phoenix,local,World_News_Now,"10/16/2016 10:03:12",2967.7,3192.1,9.7,https://archive.org/details/KNXV_20161005_091000_World_News_Now#start/3192.1/end/3201.8,"A NATION, IT WAS HEARTBREAKING. I WANT TO GIVE THIS PRESIDENT CREDIT FOR BRINGING OSAMA BIN LADEN TO JUSTICE."
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KNXV_20161005_091000_World_News_Now,KNXV,ABC,Phoenix,local,World_News_Now,"10/16/2016 09:47:35",3931.6,2255.8,19.7,https://archive.org/details/KNXV_20161005_091000_World_News_Now#start/2255.8/end/2275.5,"NATIONS SHOULD GET NUCLEAR WEAPONS. SAUDI ARABIA, JAPAN, SOUTH KIIR REI CAN'T. RONALD REAGAN SAID SOMETHING INTERESTING ABOUT NUCLEAR POE LIVE RAKES. HE SAID THE PROBLEM WITH NUCLEAR PROLIFERATION, SOME FOOL OR MANIAC COULD TRIGGER A CATASTROPHIC EVENT. I THINK THAT'S WHO GOVERNOR PENS' RUNNING MATE IS."
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KNXV_20161005_091000_World_News_Now,KNXV,ABC,Phoenix,local,World_News_Now,"10/16/2016 10:33:02",3936.1,4982,14.9,https://archive.org/details/KNXV_20161005_091000_World_News_Now#start/4982/end/4996.9,"INTERESTING ABOUT NUCLEAR POE LIVE RAKES. HE SAID THE PROBLEM WITH NUCLEAR PROLIFERATION, SOME FOOL OR MANIAC COULD TRIGGER A CATASTROPHIC EVENT. I THINK THAT'S WHO GOVERNOR PENS' RUNNING MATE IS."
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KNXV_20161005_091000_World_News_Now,KNXV,ABC,Phoenix,local,World_News_Now,"10/16/2016 09:36:45",4240,1605.7,3.7,https://archive.org/details/KNXV_20161005_091000_World_News_Now#start/1605.7/end/1609.4,"INSULT-DRIVEN CAMPAIGN ONMENT OTHER SIDE OF THE --"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KNXV_20161005_091000_World_News_Now,KNXV,ABC,Phoenix,local,World_News_Now,"10/16/2016 09:47:14",5351.9,2234.5,14.9,https://archive.org/details/KNXV_20161005_091000_World_News_Now#start/2234.5/end/2249.4,">> IT'S REALLY NOT. DONALD TRUMP AND I WOULD NEVER SUPPORT LEGISLATION THAT PUNISHED WOMEN WHO MADE HEARTBREAKING CHOICE TO END A PREGNANCY. >> WHY DID DONALD TRUMP SAY THAT? >> LOOK, IT'S -- HE'S NOT A"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KUSA_20161005_010000_NBC_News_Special_2016_Vice_Presidential_Debate,KUSA,NBC,Denver,local,NBC_News_Special_2016_Vice_Presidential_Debate,"10/16/2016 02:48:05",4053.2,6485.2,25,https://archive.org/details/KUSA_20161005_010000_NBC_News_Special_2016_Vice_Presidential_Debate#start/6485.2/end/6510.2,"PAYMENT -- >> SIX TIMES TONIGHT I HAVE SAID TO GOVERNOR PENCE I CAN'T IMAGINE HOW YOU CAN DEFEND YOUR RUNNING MATE'S POSITION ON ONE ISSUE AFTER THE NEXT. IN ALL SIX CASES HE'S REFUSED TO DEFEND -- >> DON'T PUT WORDS IN MY MOUTH. >> THEN YET HE IS ASKING EVERYBODY TO VOTE FOR SOMEBODY THAT HE CANNOT DEFEND. I JUST THINK THAT SHOULD BE UNDERLINED."
