start_second,duration,coverage_count,programs,match_url,transcript
290,6,1,FOXNEWSW_20161010_200000_Your_World_With_Neil_Cavuto,https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/290/end/296,"EXCEPT FOR NOW, LADIES AND GENTLEMEN, THE REPUBLICAN NOMINEE FOR PRESIDENT, JOHN"
303,3,1,CNNW_20161010_180000_CNN_Newsroom_With_Brooke_Baldwin,https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/303/end/306,
306,3,2,"CNNW_20161010_180000_CNN_Newsroom_With_Brooke_Baldwin, FBC_20161010_100000_Mornings_With_Maria_Bartiromo",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/306/end/309,
309,6,1,CNNW_20161010_180000_CNN_Newsroom_With_Brooke_Baldwin,https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/309/end/315,
340,14,1,MSNBCW_20161010_180000_MSNBC_Live,https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/340/end/354,"PATRICE BROCK. >> THANK YOU. GOOD EVENING. THE LAST PRESIDENT FALL DEBATE COULD HAVE BEEN -- RATED AS MA MATURE AUDIENCES PER TV PARENTAL GUIDELINES. KNOWING EDUCATORS OF STUDENTS"
374,8,2,"MSNBCW_20161010_180000_MSNBC_Live, BLOOMBERG_20161010_110000_Bloomberg_Go",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/374/end/382,"AND DONE IN THIS CAMPAIGN. AND I THINK IT IS VERY IMPORTANT FOR US TO MAKE CLEAR TO OUR CHILDREN THAT OUR COUNTRY REALLY"
482,7,1,MSNBCW_20161010_180000_MSNBC_Live,https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/482/end/489,">> WELL, I ACTUALLY AGREE WITH THAT. I AGREE WITH EVERYTHING SHE SAID. I BEGAN THIS CAMPAIGN BECAUSE I"
510,13,1,CNNW_20161010_023500_Debate_Night_in_America,https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/510/end/523,"AMERICA GREAT AGAIN. WHEN I WATCH THE DEALS BEING MADE, WHEN I WATCH WHAT'S HAPPENING WITH SOME HORRIBLE THINGS LIKE OBAMACARE WHERE YOUR HEALTH INSURANCE AND HEALTHCARE IS GOING UP BY NUMBERS THAT ARE"
616,2,1,FOXNEWSW_20161010_030000_The_Kelly_File,https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/616/end/618,"WE RECEIVED LOT OF QUESTIONS ONLINE, MR. TRUMP, ABOUT THE"
618,1,3,"FOXNEWSW_20161010_100000_FOX__Friends, FOXNEWSW_20161010_030000_The_Kelly_File, MSNBCW_20161010_200000_MSNBC_Live",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/618/end/619,"ONLINE, MR. TRUMP, ABOUT THE TAPE THAT WAS RELEASED FRIDAY"
619,2,4,"FOXNEWSW_20161010_100000_FOX__Friends, FOXNEWSW_20161010_030000_The_Kelly_File, MSNBCW_20161010_200000_MSNBC_Live, MSNBCW_20161010_040000_MSNBC_Live_Post_Debate",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/619/end/621,"TAPE THAT WAS RELEASED FRIDAY YOU CAN IMAGINE YOU CALLED WHAT"
621,1,6,"FOXNEWSW_20161010_100000_FOX__Friends, FOXNEWSW_20161010_030000_The_Kelly_File, MSNBCW_20161010_200000_MSNBC_Live, MSNBCW_20161010_040000_MSNBC_Live_Post_Debate, MSNBCW_20161011_000000_All_In_With_Chris_Hayes, MSNBCW_20161010_090000_First_Look",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/621/end/622,"YOU CAN IMAGINE YOU CALLED WHAT"
622,2,7,"FOXNEWSW_20161010_100000_FOX__Friends, FOXNEWSW_20161010_030000_The_Kelly_File, MSNBCW_20161010_200000_MSNBC_Live, MSNBCW_20161010_040000_MSNBC_Live_Post_Debate, MSNBCW_20161011_000000_All_In_With_Chris_Hayes, MSNBCW_20161010_090000_First_Look, CNNW_20161010_063000_Debate_Night_in_America",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/622/end/624,"YOU SAID LOCKER ROOM BANTER,"
624,1,8,"FOXNEWSW_20161010_100000_FOX__Friends, FOXNEWSW_20161010_030000_The_Kelly_File, MSNBCW_20161010_200000_MSNBC_Live, MSNBCW_20161010_040000_MSNBC_Live_Post_Debate, MSNBCW_20161011_000000_All_In_With_Chris_Hayes, MSNBCW_20161010_090000_First_Look, MSNBCW_20161010_090000_First_Look, CNNW_20161010_063000_Debate_Night_in_America",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/624/end/625,"YOU SAID LOCKER ROOM BANTER, KISSING WOMEN WITHOUT CONSTENT,"
625,1,18,"CNNW_20161010_023500_Debate_Night_in_America, BLOOMBERG_20161010_110000_Bloomberg_Go, BLOOMBERG_20161010_110000_Bloomberg_Go, BLOOMBERG_20161010_110000_Bloomberg_Go, FOXNEWSW_20161010_100000_FOX__Friends, FOXNEWSW_20161010_030000_The_Kelly_File, MSNBCW_20161010_200000_MSNBC_Live, MSNBCW_20161010_040000_MSNBC_Live_Post_Debate, MSNBCW_20161011_000000_All_In_With_Chris_Hayes, MSNBCW_20161010_090000_First_Look, MSNBCW_20161010_090000_First_Look, CNNW_20161010_063000_Debate_Night_in_America, BLOOMBERG_20161010_140000_Bloomberg_Markets, MSNBCW_20161010_150000_MSNBC_Live, MSNBCW_20161010_130000_MSNBC_Live, FOXNEWSW_20161010_180000_Americas_Election_HQ, CNNW_20161011_000000_Anderson_Cooper_360, CNBC_20161010_090000_Worldwide_Exchange",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/625/end/626,"KISSING WOMEN WITHOUT CONSTENT,"
626,1,19,"CNNW_20161010_023500_Debate_Night_in_America, BLOOMBERG_20161010_110000_Bloomberg_Go, BLOOMBERG_20161010_110000_Bloomberg_Go, BLOOMBERG_20161010_110000_Bloomberg_Go, FOXNEWSW_20161010_100000_FOX__Friends, FOXNEWSW_20161010_030000_The_Kelly_File, MSNBCW_20161010_200000_MSNBC_Live, MSNBCW_20161010_040000_MSNBC_Live_Post_Debate, MSNBCW_20161011_000000_All_In_With_Chris_Hayes, MSNBCW_20161010_090000_First_Look, MSNBCW_20161010_090000_First_Look, CNNW_20161010_063000_Debate_Night_in_America, BLOOMBERG_20161010_140000_Bloomberg_Markets, MSNBCW_20161010_150000_MSNBC_Live, MSNBCW_20161010_130000_MSNBC_Live, FOXNEWSW_20161010_180000_Americas_Election_HQ, CNNW_20161011_000000_Anderson_Cooper_360, CNBC_20161010_090000_Worldwide_Exchange, FBC_20161010_030000_Cavuto_Coast_to_Coast",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/626/end/627,"GRABBING THEIR GENITALS THAT IS"
627,1,20,"CNNW_20161010_023500_Debate_Night_in_America, BLOOMBERG_20161010_110000_Bloomberg_Go, BLOOMBERG_20161010_110000_Bloomberg_Go, BLOOMBERG_20161010_110000_Bloomberg_Go, FOXNEWSW_20161010_100000_FOX__Friends, FOXNEWSW_20161010_030000_The_Kelly_File, MSNBCW_20161010_200000_MSNBC_Live, MSNBCW_20161010_040000_MSNBC_Live_Post_Debate, MSNBCW_20161011_000000_All_In_With_Chris_Hayes, MSNBCW_20161010_090000_First_Look, MSNBCW_20161010_090000_First_Look, CNNW_20161010_063000_Debate_Night_in_America, BLOOMBERG_20161010_140000_Bloomberg_Markets, MSNBCW_20161010_150000_MSNBC_Live, MSNBCW_20161010_130000_MSNBC_Live, FOXNEWSW_20161010_180000_Americas_Election_HQ, CNNW_20161011_000000_Anderson_Cooper_360, CNBC_20161010_090000_Worldwide_Exchange, FBC_20161010_030000_Cavuto_Coast_to_Coast, MSNBCW_20161010_050000_MSNBC_Live_Post_Debate",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/627/end/628,"GRABBING THEIR GENITALS THAT IS"
628,2,24,"CNNW_20161010_023500_Debate_Night_in_America, BLOOMBERG_20161010_110000_Bloomberg_Go, BLOOMBERG_20161010_110000_Bloomberg_Go, BLOOMBERG_20161010_110000_Bloomberg_Go, FBC_20161010_010000_Second_Presidential_Debate, FOXNEWSW_20161010_100000_FOX__Friends, FOXNEWSW_20161010_030000_The_Kelly_File, FOXNEWSW_20161010_030000_The_Kelly_File, MSNBCW_20161010_200000_MSNBC_Live, MSNBCW_20161010_040000_MSNBC_Live_Post_Debate, MSNBCW_20161011_000000_All_In_With_Chris_Hayes, MSNBCW_20161010_090000_First_Look, MSNBCW_20161010_090000_First_Look, CNNW_20161010_063000_Debate_Night_in_America, BLOOMBERG_20161010_140000_Bloomberg_Markets, MSNBCW_20161010_150000_MSNBC_Live, MSNBCW_20161010_130000_MSNBC_Live, FOXNEWSW_20161010_180000_Americas_Election_HQ, CNNW_20161011_000000_Anderson_Cooper_360, CNBC_20161010_090000_Worldwide_Exchange, FBC_20161010_030000_Cavuto_Coast_to_Coast, MSNBCW_20161010_050000_MSNBC_Live_Post_Debate, CNNW_20161010_140000_CNN_Newsroom_With_Carol_Costello, FOXNEWSW_20161010_130000_Americas_Newsroom_With_Bill_Hemmer_and_Martha_MacCallum",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/628/end/630,"SEXUAL ASSAULT. YOU DRAGGED THAT YOU HAVE"
630,1,35,"CNNW_20161010_023500_Debate_Night_in_America, CNNW_20161010_023500_Debate_Night_in_America, BLOOMBERG_20161010_110000_Bloomberg_Go, BLOOMBERG_20161010_110000_Bloomberg_Go, BLOOMBERG_20161010_110000_Bloomberg_Go, FBC_20161010_010000_Second_Presidential_Debate, FOXNEWSW_20161010_100000_FOX__Friends, FOXNEWSW_20161010_030000_The_Kelly_File, FOXNEWSW_20161010_030000_The_Kelly_File, MSNBCW_20161010_200000_MSNBC_Live, MSNBCW_20161010_040000_MSNBC_Live_Post_Debate, MSNBCW_20161011_000000_All_In_With_Chris_Hayes, MSNBCW_20161010_090000_First_Look, MSNBCW_20161010_090000_First_Look, CNNW_20161010_063000_Debate_Night_in_America, BLOOMBERG_20161010_140000_Bloomberg_Markets, MSNBCW_20161010_150000_MSNBC_Live, MSNBCW_20161010_130000_MSNBC_Live, FOXNEWSW_20161010_180000_Americas_Election_HQ, CNNW_20161011_000000_Anderson_Cooper_360, CNBC_20161010_090000_Worldwide_Exchange, FBC_20161010_030000_Cavuto_Coast_to_Coast, MSNBCW_20161010_050000_MSNBC_Live_Post_Debate, CNNW_20161010_140000_CNN_Newsroom_With_Carol_Costello, FOXNEWSW_20161010_130000_Americas_Newsroom_With_Bill_Hemmer_and_Martha_MacCallum, FOXNEWSW_20161010_080000_Fox_and_Friends_First, BLOOMBERG_20161010_080000_The_Pulse, BLOOMBERG_20161010_080000_The_Pulse, BLOOMBERG_20161010_050000_Countdown, BLOOMBERG_20161010_050000_Countdown, FBC_20161010_130000_Varney__Company, FOXNEWSW_20161010_160000_Outnumbered, FOXNEWSW_20161010_090000_Fox_and_Friends_First, FBC_20161010_080000_Cavuto_Coast_to_Coast, BLOOMBERG_20161010_063000_On_the_Move",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/630/end/631,"YOU DRAGGED THAT YOU HAVE SEXUALLY ASSAULTED WOMEN. DO YOU UNDERSTAND THAT?"
631,1,43,"CNNW_20161010_023500_Debate_Night_in_America, CNNW_20161010_023500_Debate_Night_in_America, FBC_20161010_100000_Mornings_With_Maria_Bartiromo, FBC_20161010_100000_Mornings_With_Maria_Bartiromo, BLOOMBERG_20161010_110000_Bloomberg_Go, BLOOMBERG_20161010_110000_Bloomberg_Go, BLOOMBERG_20161010_110000_Bloomberg_Go, FBC_20161010_010000_Second_Presidential_Debate, FOXNEWSW_20161010_100000_FOX__Friends, FOXNEWSW_20161010_100000_FOX__Friends, FOXNEWSW_20161010_030000_The_Kelly_File, FOXNEWSW_20161010_030000_The_Kelly_File, MSNBCW_20161010_200000_MSNBC_Live, MSNBCW_20161010_040000_MSNBC_Live_Post_Debate, MSNBCW_20161011_000000_All_In_With_Chris_Hayes, MSNBCW_20161010_090000_First_Look, MSNBCW_20161010_090000_First_Look, CNNW_20161010_063000_Debate_Night_in_America, CNNW_20161010_063000_Debate_Night_in_America, BLOOMBERG_20161010_140000_Bloomberg_Markets, MSNBCW_20161010_150000_MSNBC_Live, FOXNEWSW_20161010_180000_Americas_Election_HQ, CNNW_20161011_000000_Anderson_Cooper_360, CNBC_20161010_090000_Worldwide_Exchange, FBC_20161010_030000_Cavuto_Coast_to_Coast, MSNBCW_20161010_050000_MSNBC_Live_Post_Debate, CNNW_20161010_140000_CNN_Newsroom_With_Carol_Costello, FOXNEWSW_20161010_130000_Americas_Newsroom_With_Bill_Hemmer_and_Martha_MacCallum, FOXNEWSW_20161010_080000_Fox_and_Friends_First, BLOOMBERG_20161010_080000_The_Pulse, BLOOMBERG_20161010_080000_The_Pulse, BLOOMBERG_20161010_080000_The_Pulse, BLOOMBERG_20161010_050000_Countdown, BLOOMBERG_20161010_050000_Countdown, FBC_20161010_130000_Varney__Company, FOXNEWSW_20161010_160000_Outnumbered, FOXNEWSW_20161010_090000_Fox_and_Friends_First, FBC_20161010_080000_Cavuto_Coast_to_Coast, BLOOMBERG_20161010_063000_On_the_Move, BLOOMBERG_20161010_063000_On_the_Move, CNNW_20161010_080000_Early_Start_With_John_Berman_and_Christine_Romans, CNNW_20161010_150000_At_This_Hour_With_Berman_and_Bolduan, CNNW_20161010_090000_New_Day",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/631/end/632,"SEXUALLY ASSAULTED WOMEN. DO YOU UNDERSTAND THAT?"
632,1,48,"FBC_20161010_090000_FBN_AM, CNNW_20161010_023500_Debate_Night_in_America, CNNW_20161010_023500_Debate_Night_in_America, FBC_20161010_100000_Mornings_With_Maria_Bartiromo, FBC_20161010_100000_Mornings_With_Maria_Bartiromo, BLOOMBERG_20161010_110000_Bloomberg_Go, BLOOMBERG_20161010_110000_Bloomberg_Go, BLOOMBERG_20161010_110000_Bloomberg_Go, FBC_20161010_010000_Second_Presidential_Debate, FOXNEWSW_20161010_100000_FOX__Friends, FOXNEWSW_20161010_100000_FOX__Friends, FOXNEWSW_20161010_030000_The_Kelly_File, FOXNEWSW_20161010_030000_The_Kelly_File, MSNBCW_20161010_200000_MSNBC_Live, MSNBCW_20161010_040000_MSNBC_Live_Post_Debate, MSNBCW_20161011_000000_All_In_With_Chris_Hayes, MSNBCW_20161010_090000_First_Look, MSNBCW_20161010_090000_First_Look, CNNW_20161010_063000_Debate_Night_in_America, CNNW_20161010_063000_Debate_Night_in_America, BLOOMBERG_20161010_140000_Bloomberg_Markets, MSNBCW_20161010_150000_MSNBC_Live, FOXNEWSW_20161010_180000_Americas_Election_HQ, CNNW_20161011_000000_Anderson_Cooper_360, CNBC_20161010_090000_Worldwide_Exchange, FBC_20161010_030000_Cavuto_Coast_to_Coast, MSNBCW_20161010_050000_MSNBC_Live_Post_Debate, CNNW_20161010_140000_CNN_Newsroom_With_Carol_Costello, FOXNEWSW_20161010_080000_Fox_and_Friends_First, BLOOMBERG_20161010_080000_The_Pulse, BLOOMBERG_20161010_080000_The_Pulse, BLOOMBERG_20161010_080000_The_Pulse, BLOOMBERG_20161010_050000_Countdown, BLOOMBERG_20161010_050000_Countdown, FBC_20161010_130000_Varney__Company, FOXNEWSW_20161010_160000_Outnumbered, FOXNEWSW_20161010_090000_Fox_and_Friends_First, FOXNEWSW_20161010_090000_Fox_and_Friends_First, FBC_20161010_080000_Cavuto_Coast_to_Coast, BLOOMBERG_20161010_063000_On_the_Move, BLOOMBERG_20161010_063000_On_the_Move, CNNW_20161010_080000_Early_Start_With_John_Berman_and_Christine_Romans, CNNW_20161010_080000_Early_Start_With_John_Berman_and_Christine_Romans, CNNW_20161010_150000_At_This_Hour_With_Berman_and_Bolduan, CNNW_20161010_090000_New_Day, CNNW_20161010_110000_New_Day, CNNW_20161010_160000_Inside_Politics, CNNW_20161010_100000_New_Day",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/632/end/633,">> NO, I DIDN'T SAY THAT AT ALL."
633,1,51,"FBC_20161010_090000_FBN_AM, CNNW_20161010_023500_Debate_Night_in_America, CNNW_20161010_023500_Debate_Night_in_America, FBC_20161010_100000_Mornings_With_Maria_Bartiromo, FBC_20161010_100000_Mornings_With_Maria_Bartiromo, BLOOMBERG_20161010_110000_Bloomberg_Go, BLOOMBERG_20161010_110000_Bloomberg_Go, BLOOMBERG_20161010_110000_Bloomberg_Go, FBC_20161010_220000_Making_Money_With_Charles_Payne, FBC_20161010_010000_Second_Presidential_Debate, FOXNEWSW_20161010_100000_FOX__Friends, FOXNEWSW_20161010_100000_FOX__Friends, FOXNEWSW_20161010_030000_The_Kelly_File, FOXNEWSW_20161010_030000_The_Kelly_File, MSNBCW_20161010_200000_MSNBC_Live, MSNBCW_20161010_040000_MSNBC_Live_Post_Debate, MSNBCW_20161011_000000_All_In_With_Chris_Hayes, MSNBCW_20161010_090000_First_Look, MSNBCW_20161010_090000_First_Look, CNNW_20161010_063000_Debate_Night_in_America, CNNW_20161010_063000_Debate_Night_in_America, BLOOMBERG_20161010_140000_Bloomberg_Markets, MSNBCW_20161010_150000_MSNBC_Live, FOXNEWSW_20161010_180000_Americas_Election_HQ, CNNW_20161011_000000_Anderson_Cooper_360, CNBC_20161010_090000_Worldwide_Exchange, FBC_20161010_030000_Cavuto_Coast_to_Coast, MSNBCW_20161010_050000_MSNBC_Live_Post_Debate, CNNW_20161010_140000_CNN_Newsroom_With_Carol_Costello, FOXNEWSW_20161010_080000_Fox_and_Friends_First, BLOOMBERG_20161010_080000_The_Pulse, BLOOMBERG_20161010_080000_The_Pulse, BLOOMBERG_20161010_080000_The_Pulse, BLOOMBERG_20161010_050000_Countdown, BLOOMBERG_20161010_050000_Countdown, FBC_20161010_130000_Varney__Company, FOXNEWSW_20161010_160000_Outnumbered, FOXNEWSW_20161010_090000_Fox_and_Friends_First, FOXNEWSW_20161010_090000_Fox_and_Friends_First, FBC_20161010_080000_Cavuto_Coast_to_Coast, BLOOMBERG_20161010_063000_On_the_Move, BLOOMBERG_20161010_063000_On_the_Move, CNNW_20161010_080000_Early_Start_With_John_Berman_and_Christine_Romans, CNNW_20161010_080000_Early_Start_With_John_Berman_and_Christine_Romans, CNNW_20161010_150000_At_This_Hour_With_Berman_and_Bolduan, CNNW_20161010_090000_New_Day, CNNW_20161010_110000_New_Day, CNNW_20161010_160000_Inside_Politics, CNNW_20161010_100000_New_Day, FOXNEWSW_20161010_150000_Happening_Now, CNNW_20161010_130000_CNN_Newsroom_With_Carol_Costello",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/633/end/634,">> NO, I DIDN'T SAY THAT AT ALL. I DON'T THINK YOU UNDERSTOOD"
634,1,57,"FBC_20161010_090000_FBN_AM, CNNW_20161010_023500_Debate_Night_in_America, CNNW_20161010_023500_Debate_Night_in_America, CNNW_20161010_180000_CNN_Newsroom_With_Brooke_Baldwin, FBC_20161010_100000_Mornings_With_Maria_Bartiromo, FBC_20161010_100000_Mornings_With_Maria_Bartiromo, BLOOMBERG_20161010_110000_Bloomberg_Go, BLOOMBERG_20161010_110000_Bloomberg_Go, BLOOMBERG_20161010_110000_Bloomberg_Go, FBC_20161010_220000_Making_Money_With_Charles_Payne, FBC_20161010_010000_Second_Presidential_Debate, FOXNEWSW_20161010_100000_FOX__Friends, FOXNEWSW_20161010_100000_FOX__Friends, FOXNEWSW_20161010_100000_FOX__Friends, FOXNEWSW_20161010_030000_The_Kelly_File, FOXNEWSW_20161010_030000_The_Kelly_File, MSNBCW_20161010_200000_MSNBC_Live, MSNBCW_20161010_040000_MSNBC_Live_Post_Debate, MSNBCW_20161011_000000_All_In_With_Chris_Hayes, MSNBCW_20161010_090000_First_Look, MSNBCW_20161010_090000_First_Look, CNNW_20161010_063000_Debate_Night_in_America, CNNW_20161010_063000_Debate_Night_in_America, BLOOMBERG_20161010_140000_Bloomberg_Markets, MSNBCW_20161010_150000_MSNBC_Live, FOXNEWSW_20161010_180000_Americas_Election_HQ, CNNW_20161011_000000_Anderson_Cooper_360, CNBC_20161010_090000_Worldwide_Exchange, FBC_20161010_030000_Cavuto_Coast_to_Coast, MSNBCW_20161010_050000_MSNBC_Live_Post_Debate, CNNW_20161010_140000_CNN_Newsroom_With_Carol_Costello, FOXNEWSW_20161010_080000_Fox_and_Friends_First, BLOOMBERG_20161010_080000_The_Pulse, BLOOMBERG_20161010_080000_The_Pulse, BLOOMBERG_20161010_080000_The_Pulse, BLOOMBERG_20161010_050000_Countdown, BLOOMBERG_20161010_050000_Countdown, FBC_20161010_130000_Varney__Company, FOXNEWSW_20161010_160000_Outnumbered, FOXNEWSW_20161010_090000_Fox_and_Friends_First, FOXNEWSW_20161010_090000_Fox_and_Friends_First, FBC_20161010_080000_Cavuto_Coast_to_Coast, BLOOMBERG_20161010_063000_On_the_Move, BLOOMBERG_20161010_063000_On_the_Move, CNNW_20161010_080000_Early_Start_With_John_Berman_and_Christine_Romans, CNNW_20161010_080000_Early_Start_With_John_Berman_and_Christine_Romans, CNNW_20161010_150000_At_This_Hour_With_Berman_and_Bolduan, CNNW_20161010_090000_New_Day, CNNW_20161010_110000_New_Day, CNNW_20161010_160000_Inside_Politics, CNNW_20161010_100000_New_Day, FOXNEWSW_20161010_150000_Happening_Now, CNNW_20161010_130000_CNN_Newsroom_With_Carol_Costello, CNBC_20161010_130000_Squawk_on_the_Street, CNNW_20161010_170000_Wolf, CNBC_20161010_080000_Street_Signs, FBC_20161011_000000_Kennedy",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/634/end/635,"I DON'T THINK YOU UNDERSTOOD WHAT WAS SAID."
635,1,58,"FBC_20161010_090000_FBN_AM, CNNW_20161010_023500_Debate_Night_in_America, CNNW_20161010_023500_Debate_Night_in_America, CNNW_20161010_180000_CNN_Newsroom_With_Brooke_Baldwin, FBC_20161010_100000_Mornings_With_Maria_Bartiromo, FBC_20161010_100000_Mornings_With_Maria_Bartiromo, BLOOMBERG_20161010_110000_Bloomberg_Go, BLOOMBERG_20161010_110000_Bloomberg_Go, BLOOMBERG_20161010_110000_Bloomberg_Go, FBC_20161010_220000_Making_Money_With_Charles_Payne, FBC_20161010_010000_Second_Presidential_Debate, FOXNEWSW_20161010_100000_FOX__Friends, FOXNEWSW_20161010_100000_FOX__Friends, FOXNEWSW_20161010_100000_FOX__Friends, FOXNEWSW_20161010_030000_The_Kelly_File, FOXNEWSW_20161010_030000_The_Kelly_File, MSNBCW_20161010_200000_MSNBC_Live, MSNBCW_20161010_040000_MSNBC_Live_Post_Debate, MSNBCW_20161011_000000_All_In_With_Chris_Hayes, MSNBCW_20161010_090000_First_Look, MSNBCW_20161010_090000_First_Look, CNNW_20161010_063000_Debate_Night_in_America, CNNW_20161010_063000_Debate_Night_in_America, BLOOMBERG_20161010_140000_Bloomberg_Markets, MSNBCW_20161010_150000_MSNBC_Live, FOXNEWSW_20161010_180000_Americas_Election_HQ, CNNW_20161011_000000_Anderson_Cooper_360, CNBC_20161010_090000_Worldwide_Exchange, FBC_20161010_030000_Cavuto_Coast_to_Coast, MSNBCW_20161010_050000_MSNBC_Live_Post_Debate, CNNW_20161010_140000_CNN_Newsroom_With_Carol_Costello, FOXNEWSW_20161010_080000_Fox_and_Friends_First, BLOOMBERG_20161010_080000_The_Pulse, BLOOMBERG_20161010_080000_The_Pulse, BLOOMBERG_20161010_080000_The_Pulse, BLOOMBERG_20161010_050000_Countdown, BLOOMBERG_20161010_050000_Countdown, FBC_20161010_130000_Varney__Company, FOXNEWSW_20161010_160000_Outnumbered, FOXNEWSW_20161010_090000_Fox_and_Friends_First, FOXNEWSW_20161010_090000_Fox_and_Friends_First, FBC_20161010_080000_Cavuto_Coast_to_Coast, BLOOMBERG_20161010_063000_On_the_Move, BLOOMBERG_20161010_063000_On_the_Move, CNNW_20161010_080000_Early_Start_With_John_Berman_and_Christine_Romans, CNNW_20161010_080000_Early_Start_With_John_Berman_and_Christine_Romans, CNNW_20161010_150000_At_This_Hour_With_Berman_and_Bolduan, CNNW_20161010_090000_New_Day, CNNW_20161010_110000_New_Day, CNNW_20161010_160000_Inside_Politics, CNNW_20161010_100000_New_Day, FOXNEWSW_20161010_150000_Happening_Now, CNNW_20161010_130000_CNN_Newsroom_With_Carol_Costello, CNBC_20161010_130000_Squawk_on_the_Street, CNNW_20161010_170000_Wolf, CNBC_20161010_080000_Street_Signs, FBC_20161011_000000_Kennedy, CNNW_20161010_230000_Erin_Burnett_OutFront",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/635/end/636,"WHAT WAS SAID."
